fold,session_id,condition,t_s,score
0,S001_normal_s,normal,0,0.0
0,S001_normal_s,normal,1,0.0
0,S001_normal_s,normal,2,0.0
0,S001_normal_s,normal,3,0.0
0,S001_normal_s,normal,4,0.0
0,S001_normal_s,normal,5,0.0
0,S001_normal_s,normal,6,0.0
0,S001_normal_s,normal,7,0.0
0,S001_normal_s,normal,8,0.0
0,S001_normal_s,normal,9,0.0
0,S001_normal_s,normal,10,0.0
0,S001_normal_s,normal,11,0.0
0,S001_normal_s,normal,12,0.0
0,S001_normal_s,normal,13,0.0
0,S001_normal_s,normal,14,0.0
0,S001_normal_s,normal,15,0.0
0,S001_normal_s,normal,16,0.0
0,S001_normal_s,normal,17,0.0
0,S001_normal_s,normal,18,0.0
0,S001_normal_s,normal,19,0.0
0,S001_normal_s,normal,20,0.0
0,S001_normal_s,normal,21,0.0
0,S001_normal_s,normal,22,0.0
0,S001_normal_s,normal,23,0.0
0,S001_normal_s,normal,24,0.0
0,S001_normal_s,normal,25,0.0
0,S001_normal_s,normal,26,0.0
0,S001_normal_s,normal,27,0.0
0,S001_normal_s,normal,28,0.0
0,S001_normal_s,normal,29,0.0
0,S001_normal_s,normal,30,-0.21227777777777845
0,S001_normal_s,normal,31,-0.21227777777777845
0,S001_normal_s,normal,32,-0.21227777777777845
0,S001_normal_s,normal,33,-0.21227777777777845
0,S001_normal_s,normal,34,-0.21227777777777845
0,S001_normal_s,normal,35,-0.2072777777777759
0,S001_normal_s,normal,36,-0.2072777777777759
0,S001_normal_s,normal,37,-0.2072777777777759
0,S001_normal_s,normal,38,-0.2072777777777759
0,S001_normal_s,normal,39,-0.2072777777777759
0,S001_normal_s,normal,40,-0.1722777777777793
0,S001_normal_s,normal,41,-0.1722777777777793
0,S001_normal_s,normal,42,-0.1722777777777793
0,S001_normal_s,normal,43,-0.1722777777777793
0,S001_normal_s,normal,44,-0.1722777777777793
0,S001_normal_s,normal,45,-0.15227777777777973
0,S001_normal_s,normal,46,-0.15227777777777973
0,S001_normal_s,normal,47,-0.15227777777777973
0,S001_normal_s,normal,48,-0.15227777777777973
0,S001_normal_s,normal,49,-0.15227777777777973
0,S001_normal_s,normal,50,-0.14061111111111302
0,S001_normal_s,normal,51,-0.14061111111111302
0,S001_normal_s,normal,52,-0.14061111111111302
0,S001_normal_s,normal,53,-0.14061111111111302
