fold,session_id,condition,t_s,score
0,S001_2026-06-01_toshiba_normal_22C_a,normal,0,4.795842170715332
0,S001_2026-06-01_toshiba_normal_22C_a,normal,1,8.837510108947754
0,S001_2026-06-01_toshiba_normal_22C_a,normal,2,12.302018165588379
0,S001_2026-06-01_toshiba_normal_22C_a,normal,3,14.919196128845215
0,S001_2026-06-01_toshiba_normal_22C_a,normal,4,16.75511932373047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,5,17.988643646240234
0,S001_2026-06-01_toshiba_normal_22C_a,normal,6,18.797122955322266
0,S001_2026-06-01_toshiba_normal_22C_a,normal,7,19.319618225097656
0,S001_2026-06-01_toshiba_normal_22C_a,normal,8,19.654687881469727
0,S001_2026-06-01_toshiba_normal_22C_a,normal,9,19.868696212768555
0,S001_2026-06-01_toshiba_normal_22C_a,normal,10,20.00511360168457
0,S001_2026-06-01_toshiba_normal_22C_a,normal,11,20.092012405395508
0,S001_2026-06-01_toshiba_normal_22C_a,normal,12,20.147369384765625
0,S001_2026-06-01_toshiba_normal_22C_a,normal,13,20.182659149169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,14,20.205163955688477
0,S001_2026-06-01_toshiba_normal_22C_a,normal,15,20.21952247619629
0,S001_2026-06-01_toshiba_normal_22C_a,normal,16,20.228700637817383
0,S001_2026-06-01_toshiba_normal_22C_a,normal,17,20.234567642211914
0,S001_2026-06-01_toshiba_normal_22C_a,normal,18,20.238319396972656
0,S001_2026-06-01_toshiba_normal_22C_a,normal,19,20.2407283782959
0,S001_2026-06-01_toshiba_normal_22C_a,normal,20,20.242267608642578
0,S001_2026-06-01_toshiba_normal_22C_a,normal,21,20.24325942993164
0,S001_2026-06-01_toshiba_normal_22C_a,normal,22,20.243896484375
0,S001_2026-06-01_toshiba_normal_22C_a,normal,23,20.244300842285156
0,S001_2026-06-01_toshiba_normal_22C_a,normal,24,20.24456024169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,25,20.244728088378906
0,S001_2026-06-01_toshiba_normal_22C_a,normal,26,20.244836807250977
0,S001_2026-06-01_toshiba_normal_22C_a,normal,27,20.244905471801758
0,S001_2026-06-01_toshiba_normal_22C_a,normal,28,20.244951248168945
0,S001_2026-06-01_toshiba_normal_22C_a,normal,29,20.244979858398438
0,S001_2026-06-01_toshiba_normal_22C_a,normal,30,20.24500274658203
0,S001_2026-06-01_toshiba_normal_22C_a,normal,31,20.24501609802246
0,S001_2026-06-01_toshiba_normal_22C_a,normal,32,20.245023727416992
0,S001_2026-06-01_toshiba_normal_22C_a,normal,33,20.24502944946289
0,S001_2026-06-01_toshiba_normal_22C_a,normal,34,20.245031356811523
0,S001_2026-06-01_toshiba_normal_22C_a,normal,35,20.245033264160156
0,S001_2026-06-01_toshiba_normal_22C_a,normal,36,20.245031356811523
0,S001_2026-06-01_toshiba_normal_22C_a,normal,37,20.24503517150879
0,S001_2026-06-01_toshiba_normal_22C_a,normal,38,20.24503517150879
0,S001_2026-06-01_toshiba_normal_22C_a,normal,39,20.24503517150879
0,S001_2026-06-01_toshiba_normal_22C_a,normal,40,20.24503517150879
0,S001_2026-06-01_toshiba_normal_22C_a,normal,41,20.245037078857422
0,S001_2026-06-01_toshiba_normal_22C_a,normal,42,20.245037078857422
0,S001_2026-06-01_toshiba_normal_22C_a,normal,43,20.245037078857422
0,S001_2026-06-01_toshiba_normal_22C_a,normal,44,20.245037078857422
0,S001_2026-06-01_toshiba_normal_22C_a,normal,45,20.245037078857422
0,S001_2026-06-01_toshiba_normal_22C_a,normal,46,20.245037078857422
0,S001_2026-06-01_toshiba_normal_22C_a,normal,47,20.245037078857422
