fold,session_id,condition,t_s,score
0,S001_2026-06-01_toshiba_normal_22C_a,normal,0,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,1,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,2,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,3,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,4,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,5,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,6,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,7,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,8,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,9,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,10,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,11,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,12,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,13,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,14,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,15,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,16,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,17,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,18,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,19,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,20,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,21,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,22,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,23,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,24,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,25,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,26,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,27,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,28,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,29,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,30,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,31,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,32,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,33,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,34,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,35,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,36,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,37,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,38,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,39,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,40,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,41,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,42,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,43,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,44,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,45,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,46,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,47,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,48,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,49,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,50,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,51,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,52,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,53,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,54,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,55,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,56,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,57,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,58,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,59,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,60,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,61,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,62,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,63,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,64,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,65,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,66,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,67,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,68,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,69,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,70,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,71,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,72,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,73,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,74,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,75,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,76,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,77,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,78,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,79,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,80,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,81,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,82,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,83,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,84,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,85,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,86,23.5
0,S001_2026-06-01_toshiba_normal_22C_a,normal,87,23.5
